sign,general,favorable,unfavorable
Aries,"Очень импульсивная энергия, помогающая начинать любое дело. 

Мы становимся более смелыми, решительными, готовыми брать быка за рога. В нас проявляются лидерские качества и нам хочется быть первыми во всем. Используйте этот период, чтобы стартануть с бизнес-проектом, решиться на какой-то поступок. 

В эти дни мы не задумываемся особо о последствиях, поэтому нам легче кардинально менять свою жизнь и начинать новые процессы. Результат мы хотим получить быстро, поэтому выкладываемся в одном рывке. Следом за активностью может следовать период апатии и восстановления.","- Проявлять настойчивость
- Предлагать свою кандидатуру в качестве руководителя проекта
- Выступать с инициативами
- Начинать тренировочный процесс
- Участвовать в соревнованиях
- Стартовать с новым бизнесом, проектом
- Совершать рывок, прорыв в делах
- Быстро прощать обиды
- Соглашаться на роль ведущего, лидера
","- Браться за рутинную, монотонную работу
- Проводить операции в зоне головы
- Проявлять грубость, агрессивность
- Превышать скорость на дорогах
- Терять контроль над эмоциями
- Разогнаться до бессонницы
"
Taurus,"Энергия комфортного времяпрепровождения, когда хочется больше есть и дольше спать. В эти дни комфорт и удовольствия выходят на первый план. 

Мы хотим жить сытно, богато и красиво. Соответственно, все наши устремления сосредоточены вокруг материальных радостей. Самый легкий способ получения удовольствия – это еда. Поэтому часто при Луне в Тельце мы переедаем. 

В эти дни мы становимся более ленивыми и инертными. Только практическая польза и материальная выгода может простимулировать нас к усилиям над собой. Дни подходят для приема гостей, работы с материалами, декораторства, отделочных работ.","- Совершать покупки
- Решать финансовые вопросы 
- Наводить уют и красоту в доме
- Ухаживать за собой, посещать косметолога
- Начинать курс массажа
- Концентрироваться на трудоемких делах
- Получать гастрономическое удовольствие
- Начать строительство дома, ремонт квартиры
- Закупать отделочные материалы
- Покупать мебель, шторы, сантехнику, дорогостоящие предметы интерьера
- Заниматься заготовками, пополнять кладовую
- Упаковывать и дарить подарки
- Обнимать своих близких
- Открывать счет в банке
","- Заниматься делами, требующими быстрой реакции
- Проводить операции на щитовидке, миндалинах
- Запускать больное горло
- Совершать рискованные финансовые операции
- Набирать лишний вес
- Начинать диету и ограничивать себя в еде
"
Gemini,"Энергия открытости всему новому. 

В эти дни мы много общаемся, веселимся, встречаемся, быстро меняем планы, легко переключаемся и беззаботно относимся к своим обязанностям. На такой Луне плодотворней проходят встречи, мы готовы активно созваниваться и обмениваться новостями. Это время для интеллектуальной работы, работы со словом, интенсивных переписок и написания статей. 

Энергия Близнецов очень подвижна, поэтому не отказывайтесь от поездок и встреч. Завязываются нужные и интересные связи, возрастают коммуникативные способности. Повышается ловкость рук и сообразительность.","- Много гулять и быть на свежем воздухе
- Выбираться на пробежки, велопоездки, пешие прогулки
- Взаимодействовать с братьями, сестрами, ближайшими родственниками
- Покупать гаджеты, средства общения, технические новинки
- Назначать встречи, переговоры, собирать выпускников
- Писать обзоры, отвечать на письма, работать с документами, готовить доклады
- Начинать обучение, записываться на курсы
- Расширять круг знакомств
- .Выступать посредником
- Использовать шутки и иронию
- Собирать справки, оформлять бумаги
- Заниматься коммерцией
- Приобретать учебную литературу
","- Злоупотреблять сигаретами
- Запускать кашель
- Перегружать нервную систему
- Допускать ошибки из-за поспешности и невнимательности
- Опаздывать
- Рассеянно взаимодействовать с деньгами
"
Cancer,"Период повышенной эмоциональности и чувствительности. 

Внимание в эти дни мы направляем на свою семью, детей, родителей. Все события мы принимаем близко к сердцу. Становимся более обидчивыми, ранимыми, сентиментальными. 

Это отличное время для решения семейных и хозяйственных вопросов, связанных с питанием, ремонтом, огородом, пристройками и перепланировками, хорошие дни для зачатия. 

Решения, которые мы принимаем на Луне в Раке носят субъективный характер и продиктованы сиюминутным настроением.","- Заниматься вопросами недвижимости
- Заботиться о старших родственниках и детях 
- Устраивать семейные обеды
- Перенимать опыт у старшего поколения
- Окружать близких теплом и заботой
- Делать заготовки
- Покупать детскую одежду
- Укреплять семейные узы
- Приобретать бытовую технику для кухни
- Полагаться на свою интуицию
- Получать консультацию психолога
- Начинать стройку, ремонт

","- Ставить в приоритет работу и карьеру
- Обижаться на пустом месте
- Делать операции на груди и желудке
- Перегружать желудок
- Перекладывать ответственность на других
- Надолго уезжать от близких
"
Leo,"Энергия повышенного внимания и театральных эмоций. 

Это достаточно веселые, оптимистичные и активные дни, когда мы можем вести себя немного наигранно, вовлекая других в свой спектакль. В эти дни хочется блистать, флиртовать, слышать комплименты и аплодисменты. 

Это прекрасный период радоваться любым мелочам и относиться к жизни как к увлекательному мероприятию, в котором мы играем главную роль. Хорошо проходят совместные развлечения с детьми, шумные праздники и публичные выступления.","- Участвовать в спортивных и зрелищных мероприятиях
- Творчески самовыражаться
- Представлять публике свои проекты, товары, мастер-классы
- Проводить самопрезентацию
- Организовывать выставки, конкурсы, показы
- Повышать свою самооценку и уверенность в себе
- Играть с детьми, соревноваться с ними
- Давать рекламу
- Ходить на свидания, дарить подарки
- Проводить прямые эфиры
- Выкладывать селфи, говорить о себе
- Участвовать в лотереи
- Стричь волосы для лучшего роста
","- Устраивать «концерт», публичную истерику
- Вести себя неискренне, наигранно, самонадеянно
- Тратить слишком много денег на красивый жест
- Выказывать пренебрежение к другим
- Превышать допустимую кардио-нагрузку
- Сильно волноваться, если слабое сердце 
"
Virgo,"Энергия упорядочивания и практичности. 

В эти дни мы становимся трудолюбивыми и хотим навести порядок во всех сферах, особенно, тех, которые касаются нашего здоровья, работы, коммунальных платежей, хозяйства. 

Становимся способны выполнять монотонную, рутинную работу, на которую обычно жалко тратить жизнь. 

При Луне в Деве необходимо отремонтировать все, что сломалось, заплатить по всем счетам и разложить все по местам. В работе сосредоточьтесь на анализе, учете недостатков, оптимизации процессов, выстраивании структуры.","- Начинать диету, разгрузочные дни
- Очищаться от шлаков, выводить токсины
- Проходить обследования
- Начинать курс лечебного массажа
- Выполнять сложную кропотливую работу с большим количеством цифр или деталей
- Проводить работу над ошибками в любой сфере
- Сводить дебет с кредитом, планировать бюджет, готовить отчет
- Заниматься научной, интеллектуальной работой
- Систематизировать документы, справки
- Набирать помощников, сотрудников
- Проводить тщательную уборку помещения 
- Ремонтировать технику, мебель, сантехнику
- Посещать косметолога, стричь волосы

","- Проводить операции на кишечнике, брюшной полости
- Ходить на романтические свидания
- Питаться вредной пищей
- Быть критично настроенным
- Выискивать недостатки у других, придираться
- Зацикливаться на ерунде, мелочах
"
Libra ,"Энергия парного взаимодействия. Для нас становится очень важна фигура второго человека. 

В эти дни для нас огромное значение приобретают наши договоренности и обязательства, принятые на себя ранее. Обостряются ситуации, когда мы склонны обвинять другую сторону в случае их нарушения. Споры возможны и когда нам кажется, что второй человек уклоняется от своих обязательств. 

В целом, мы стремимся к гармонии и равновесии на Луне в Весах и очень эмоционально реагируем на ситуации несправедливости. В эти дни нам легче прийти к компромиссу и помириться, поскольку окружающие настроены на диалог.","- Укреплять партнерские отношения
- Проявлять гибкость, дипломатичность, тактичность
- Заключать договоры, приходить к согласию
- Проводить время вдвоем
- Получать эстетическое удовольствие, посещать светские мероприятия
- Подписывать брачные договоры, сочетаться браком
- Брать интервью, проводить переговоры
- Получить консультацию стилиста, визажиста, дизайнера
- Обновлять гардероб, покупать стильные вещи
- Подавать документы в судебные органы
- Оформлять документы у нотариуса
- Решать юридические вопросы
- Посещать салоны красоты, парикмахерские, спа-салоны
- Использовать обаяние и дружелюбие
- Больше быть на виду и в публичных местах
- Споры решать в правовом поле в рамках закона
","- Делать операцию на почках
- Перекладывать принятие решение на другого
- Нарушать договоренности
- Проводить эти дни в одиночестве
- Иметь дело с агрессивными, грубыми людьми

"
Scorpio,"Дни внутреннего напряжения. Мы склонны драматизировать события, раскачивать эмоциональную лодку. 

Возрастает наша интуиция на неприятности, но всегда остается риск раздуть из мухи слона и преувеличить возможный ущерб. Это энергия перестраховки. Если извне нет опасных ситуаций, то мы можем сгенерировать сильные эмоции искусственно. Начинаем придираться к близким и «пить их кровь». 

Всегда хорошо в дни Скорпионьей Луны направлять энергию на прирост заработка, поскольку возрастает желание чем-то «поживиться». Лучше увеличить свой доход, чем лишний раз тревожиться на пустом месте.","- Пользоваться чужими деньгами, брать кредит
- Получить консультацию таролога, гипнолога, эзотерика
- Решать вопросы, связанные с алиментами, долгами, страховками, налогами
- Оформлять завещание, заниматься наследством
- Обращаться в прокуратуру, силовые ведомства
- Работать с психологом, идти в терапию
- Сохранять самообладание и выдержку
- Подумать о пассивном доходе и других источниках заработка
- Выходить на оптовый уровень
- Генерировать желание и притягивать желаемое
- Устроить сексуальное свидание
- Очищать пространство, мысли, тело
- Давать себе максимальную физическую нагрузку
- Инвестировать денежные средства
","- Видеть худшее в людях
- Делать операции на мочеполовой и репродуктивной системах
- Генерировать недовольство и плохое настроение
- Язвить, злословить
- Использовать манипуляции, давить на других
- Устраивать свадебные торжества
"
Sagittarius,"Энергия оптимизма и авантюризма. Одни из самых позитивных и захватывающих дней месяца. 

Мы надеемся, что что-то хорошее войдет в нашу жизнь. Это действительно так и многие из нас способны в эти дни реализовать свои амбиции и добиться новых высот! Другие лишь предвкушают и потирают руки, но их ожидания лопаются как мыльный пузырь. В любом случае, наше настроение повышается, и мы полны жизненных сил. 

В эти дни реклама и самопиар получают большее распространение. Нежелательно раздавать непрошенные советы и взаимодействовать с людьми в назидательном тоне.","- Ездить, перемещаться, путешествовать
- Много ходить, заниматься спортом
- Планировать отдых и отпуск, бронировать отели, покупать путевки
- Изучать другие языки и культуры
- Выступать перед аудиторией
- Делиться опытом, если вы экспертны
- Получать уникальные знания
- Поступать в ВУЗы
- Приобретать обучающие курсы, заходить в наставничество
- Загораться идеей и претворять ее в жизнь
- Замахиваться на масштабные проекты
- Налаживать отношения с иностранцами, заключать договора на экспорт/импорт
- Получать консультацию экспертов, врачей высшей категории
- Посещать семинары, конференции
","- Заниматься прожектерством
- Терять бдительность и чувство самосохранения, рисковать жизнью
- Перегружать печень, поджелудочную железу
- Поучать других
- Считать свое мнение единственно верным
- Давать пустые обещания
- Вовлекаться в споры на деньги
"
Capricorn,"Энергия ответственности и принципиальности. 

В эти дни мы настроены прикладывать много усилий и идти к своим целям, не сворачивая. Работа и карьера выходит на первое место, поэтому семейные и домашние дела могут просесть. Нам не до эмоций и не до понимания чувств других. 

Дедлайн и амбиции подстегивают нас, отбросив все лишнее, двигаться по своему плану. Людей мы воспринимаем исключительно по их функционалу и профессиональным качествам. Мы становимся более организованными, дисциплинированными, деловыми.","- Строить планы и придерживаться их
- Настраиваться на конкретный результат
- Замахиваться на карьерные вершины
- Обращаться в госструктуры, администрацию
- Начинать диету, брать аскезу
- Опираться на чувство долга
- Решать вопросы, связанные с землей и строительством
- Оформлять разрешения, получать лицензии, регистрироваться в госорганах
- Быть готовым к переработкам
- Укреплять спину, делать растяжку
- Проявлять уважение к старшим, к родителям
- Взаимодействовать с начальством
- Браться за сложный проект","- Ставить имплантаты
- Оперировать суставы, колени
- Задерживаться на работе
- Отталкивать людей
- Игнорировать близких
"
Aquarius,"Дни коллективного взаимодействия.

В эти дни мы становимся более дружелюбны и общительны. Нам хочется найти компанию, где разделяют наши интересы. Мы активно черпаем идеи из воздуха и обмениваемся инсайтами. Чувствуем коллективную ответственность и готовы работать плечо к плечу. 

В эти дни нам не хочется сидеть дома и заниматься рутинными делами. Мы стремимся вырваться на свободу, отказаться от привычных правил. Усиливается наблюдательность и предчувствие будущего. Важно быть готовым к любому повороту событий и неожиданностям. ","- Встречаться с друзьями
- Организовывать совместные мероприятия, встречи, праздники
- Проводить коллективные совещания, мозговые штурмы
- Заниматься сложной интеллектуальной работой
- Внедрять новые методы, нестандартные подходы
- Весело проводить время
- Обмениваться идеями, советоваться с друзьями
- Проводить тренинги, семинары, конференции
- Давать рекламные объявления
- Наращивать аудиторию в соцсетях
- Обновлять гаджеты
- Общаться на форумах
- Осуществлять волонтерскую деятельность
- Вовлекаться в масштабные, многолюдные проекты
- Подавать заявку на участие в соц программах
","- Проводить операции на глазах
- Скучно проводить время
- Ограничивать своих детей, выстраивать им рамки
- Быть вытолкнутым из сообщества
- Заниматься рутиной
- Поссориться с друзьями
"
Pisces,"Энергия мягкости, расслабления, погружения в внутренний мир. Мы становимся чувствительными и ранимыми. 

В такие дни огромное значение приобретают наши настроения и эмоции. Многие хотят уединиться или съездить на природу, побыть у воды. Усиливается интуиция, жалость к себе, сострадание к другим. Мир нам видится немного искаженным, мы склонны витать в облаках. Наваливается лень и апатия. 

Многие находят расслабление в алкоголе или компьютерных играх. Наша бдительность снижается, мы легко можем стать жертвой мошенников. Усиливается творческое вдохновение, можно создать настоящий шедевр.","- Вести душевные разговоры
- Побыть в одиночестве
- Слушать музыку, смотреть фильмы
- Попросить о помощи Высшие силы
- Посещать хамам, бассейн
- Заниматься благотворительностью
- Работать с психологом, читать книги
- Придумывать хитрые финансовые схемы 
- Заниматься эзотерическими практиками
- Очищать пространство и мысли молитвами
- Устраивать романтические свидания
- Завершать процессы: увольняться, разводиться, подводить итоги
- Создавать фото- и видеоконтент
- Находить инвестора, получать финансирование","- Впадать в роль жертвы или спасателя
- Жалеть себя
- Получить отравление пищей, химикатами, лекарствами
- Работать с цифрами, документами, деталями
- Злоупотреблять всем, от чего мы испытываем зависимость. Особенно алкоголем
- Принимать сильнодействующие вещества
"
